Data;Serie;Trend;Stag;Res
2015-01-01;-0.69;0.531593713;-0.13815008;-1.083443633
2015-01-02;-1.925416667;0.532070975;-1.4186591;-1.038828541
2015-01-03;-1.42;0.532548236;-1.116390342;-0.836157894
2015-01-04;-1.3075;0.533025498;-0.99842714;-0.842098358
2015-01-05;-0.7925;0.533502759;0.017591618;-1.343594377
2015-01-06;-1.492083333;0.533980021;0.940415932;-2.966479286
2015-01-07;-4.5725;0.534457282;0.693795801;-5.800753083
2015-01-08;-3.293333333;0.534934544;1.741064559;-5.569332436
2015-01-09;-2.280833333;0.535411805;0.408055539;-3.224300677
2015-01-10;-3.662916667;0.535889067;-1.319953481;-2.878852252
2015-01-11;-1.64875;0.536366328;1.356620833;-3.541737161
2015-01-12;-2.328333333;0.53684359;0.577639591;-3.442816514
2015-01-13;-2.352916667;0.537320851;1.315186126;-4.205423644
2015-01-14;-1.01625;0.537798113;1.374538218;-2.92858633
2015-01-15;-0.79125;0.538275374;3.530973642;-4.860499016
2015-01-16;-0.723333333;0.538752636;1.611159067;-2.873245036
2015-01-17;-0.93125;0.539229897;0.039261158;-1.509741055
2015-01-18;-2.479166667;0.539707158;2.015279916;-5.034153741
2015-01-19;-0.855416667;0.54018442;5.147270896;-6.542871983
2015-01-20;-0.8925;0.540661681;4.464122988;-5.897284669
2015-01-21;-0.97;0.541138943;4.541669523;-6.052808466
2015-01-22;-0.575833333;0.541616204;5.381911279;-6.499360817
2015-01-23;-0.374583333;0.542093466;2.523125257;-3.439802057
2015-01-24;-1.232083333;0.542570727;1.109478124;-2.884132185
2015-01-25;-1.646666667;0.543047989;1.256525436;-3.446240091
2015-01-26;-0.99875;0.54352525;4.938433858;-6.480709109
2015-01-27;-0.709583333;0.544002512;6.056175614;-7.30976146
2015-01-28;-1.135416667;0.544479773;4.674611815;-6.354508255
2015-01-29;-0.4375;0.544957035;1.756936904;-2.739393939
2015-01-30;-0.16625;0.545434296;0.361623104;-1.073307401
2015-01-31;-1.467083333;0.545911558;-0.896190695;-1.116804196
2015-02-01;0.06125;0.546388819;-0.531226717;0.046087898
2015-02-02;0.260833333;0.546866081;0.207209483;-0.493242231
2015-02-03;0.5575;0.547343342;0.799256795;-0.789100137
2015-02-04;1.400416667;0.547820604;1.234915217;-0.382319154
2015-02-05;0.647916667;0.548297865;1.030434751;-0.930815949
